TF,target,target_symbol,target_gene_id,signed_association,absolute_association,p_value,positive_sign_frequency,bootstrap_sign_consistency,bootstrap_top1_frequency,bootstrap_top5_frequency,bootstrap_top10_frequency,fdr_global,stable_edge
GATA1,CDC27,CDC27,ENSG00000004897,0.1525464479182934,0.1525464479182934,3.2930285503774684e-08,1.0,1.0,0.77,0.98,0.99,6.208494344547866e-06,True
BCL11A,SERBP1,SERBP1,ENSG00000142864,0.15242277255775288,0.15242277255775288,3.3791153889972045e-08,1.0,1.0,0.1,0.74,0.93,6.3163464578947745e-06,True
GFI1B,CD36,CD36,ENSG00000135218,0.1520325625700166,0.1520325625700166,3.665262402148594e-08,1.0,1.0,0.47,0.93,1.0,6.8220671263821066e-06,True
BCL11A,SMC2,SMC2,ENSG00000136824,0.151918973825576,0.151918973825576,3.752878849909516e-08,1.0,1.0,0.17,0.74,0.92,6.955547495552638e-06,True
NFE2,RNF11,RNF11,ENSG00000123091,0.15181661824721565,0.15181661824721565,3.833565836729812e-08,1.0,1.0,0.42,0.95,0.99,7.043573837451311e-06,True
NFE2,TNXB,TNXB,ENSG00000168477,0.15170434572913363,0.15170434572913363,3.9240027612156956e-08,1.0,1.0,0.39,0.93,0.99,7.121820779069482e-06,True
BCL11A,PRKAR2B,PRKAR2B,ENSG00000005249,0.15161229755368688,0.15161229755368688,3.999687193518874e-08,1.0,1.0,0.14,0.74,0.92,7.229186687789899e-06,True
NFE2,ZMYND8,ZMYND8,ENSG00000101040,0.15158803087698028,0.15158803087698028,4.019874220805495e-08,1.0,1.0,0.38,0.96,0.99,7.235773597449891e-06,True
NFE2,CR1L,CR1L,ENSG00000197721,0.15150436599795394,0.15150436599795394,4.0902330075136683e-08,1.0,1.0,0.48,0.94,0.98,7.332245563469174e-06,True
GFI1B,LPIN2,LPIN2,ENSG00000101577,-0.1514516913981207,0.1514516913981207,4.1351404982530406e-08,0.0,1.0,0.48,0.9,0.96,7.382491648717878e-06,True
BCL11A,NUDT4,NUDT4,ENSG00000173598,0.15140816874604915,0.15140816874604915,4.172605475507561e-08,1.0,1.0,0.12,0.75,0.93,7.4190960771829565e-06,True
NFE2,AAK1,AAK1,ENSG00000115977,-0.15119393970950434,0.15119393970950434,4.3618606588385615e-08,0.0,1.0,0.38,0.94,0.99,7.724201830672012e-06,True
GFI1B,RPL23,RPL23,ENSG00000125691,0.1509197913642824,0.1509197913642824,4.616205629184873e-08,1.0,1.0,0.44,0.96,0.99,8.141646541151062e-06,True
BCL11A,XRCC5,XRCC5,ENSG00000079246,0.15081173374629517,0.15081173374629517,4.720353867540999e-08,1.0,1.0,0.1,0.72,0.89,8.277483050002147e-06,True
BCL11A,PICALM,PICALM,ENSG00000073921,0.1507811405499061,0.1507811405499061,4.750251142852657e-08,1.0,1.0,0.12,0.75,0.96,8.277927688779889e-06,True
BCL11A,DLEU2,DLEU2,ENSG00000231607,0.15061741895245787,0.15061741895245787,4.9133907895019774e-08,1.0,1.0,0.11,0.81,0.97,8.497768933547684e-06,True
