TF,target,response_pattern,refined_response_pattern,unresolved_reason,stable_small_response_supported,near_threshold_persistent,common_effect,common_effect_se,common_effect_fdr,interaction_fdr,guide_testable,effective_guides_used,all_timepoint_same_direction,all_timepoint_guide_consistent,temporal_equivalence_supported,uniformly_negligible_supported,effect_day 7,effect_day 9,effect_day 11,effect_day 14,effect_fdr_day 7,effect_fdr_day 9,effect_fdr_day 11,effect_fdr_day 14,consistent_guides_day 7,consistent_guides_day 9,consistent_guides_day 11,consistent_guides_day 14,E1_supported
BCL11A,ARL15,unresolved_no_interaction,reason_coded_unresolved,near_zero_sign_crossing_common_unsupported,False,False,-0.041290277345523645,0.04356805084276072,0.5074057877592002,0.6504108478835773,True,2,False,True,False,False,0.0089073090942733,-0.0256391930868311,-0.0005481040013434,-0.2109504209131711,0.951404310053352,0.910493066003772,0.9992627697867972,0.2328338706818136,2,2,2,3,False
BCL11A,AMMECR1,unresolved_no_interaction,reason_coded_unresolved,near_zero_sign_crossing_common_unsupported,False,False,-0.03979607698154676,0.02425508629796553,0.22309481560989927,0.1128804034710458,True,2,False,False,False,False,-0.1309534194432609,0.010947783615521,-0.1045600517943417,0.0838367389787393,0.021200646160736,0.9264883397099708,0.5469778842198386,0.4394568063424285,3,1,2,3,False
BCL11A,HBB,unresolved_no_interaction,reason_coded_unresolved,small_same_direction_not_equivalently_weak,False,False,-0.049058320524977335,0.020463053618935245,0.06238188675905129,0.6054152067242751,True,2,True,False,True,False,-0.0119346709902682,-0.0612342598414971,-0.1271211857821935,-0.0225498973979557,0.8903094385854009,0.3370227570743932,0.2963780699700286,0.8591023191948493,0,3,3,1,False
BCL11A,UROS,unresolved_no_interaction,reason_coded_unresolved,near_zero_sign_crossing_common_unsupported,False,False,-0.05608613959333095,0.02675166221483006,0.10968769553743221,0.5153402736727258,True,2,False,True,False,False,0.0222107417257189,-0.0687721827060767,-0.1062296867229744,-0.1340210913659067,0.8417188388277009,0.424830561115158,0.5814368351898648,0.2108198279040998,3,3,3,3,False
BCL11A,VRK1,unresolved_no_interaction,reason_coded_unresolved,small_same_direction_not_equivalently_weak,False,False,-0.077265332348314,0.035310579399122584,0.09191932632166043,0.8752673646657542,True,2,True,True,False,False,-0.0305786408354553,-0.0753412388180506,-0.127050169139897,-0.1266044357686398,0.835774818712376,0.5519932917679039,0.5942032044272909,0.4213446567008116,2,3,3,2,False
BCL11A,TNXB,unresolved_no_interaction,reason_coded_unresolved,meaningful_polarity_conflict_interaction_unresolved,False,False,-0.00166957863768515,0.06544415017246538,0.980658706931716,0.5841315318683553,True,2,False,True,False,False,-0.0906895595174882,0.1334201092702956,-0.2108207884856336,0.0626346384789024,0.6872736509448172,0.5728700597059749,0.6444316816382823,0.8887427820050734,2,3,2,2,False
BCL11A,DDIT4,unresolved_no_interaction,reason_coded_unresolved,near_zero_sign_crossing_common_unsupported,False,False,0.08628861704804597,0.06701614266968152,0.3559057816921985,0.9147846333664906,True,2,False,True,False,False,0.0972980934605358,0.1446473952998357,0.0536575656666445,-0.0349384366968932,0.661892965238124,0.5519932917679039,0.9228800763806996,0.9484152389132324,2,2,2,3,False
BCL11A,KAT2B,unresolved_no_interaction,reason_coded_unresolved,near_zero_sign_crossing_common_unsupported,False,False,-0.0054714414663155075,0.036812863953532275,0.9210201138392553,0.5683463541820194,True,2,False,False,False,False,-0.0066097843370062,0.0240771962145774,-0.1693483130369044,0.081260497377829,0.9581833943481716,0.905036867337199,0.508254418966302,0.6596091494524706,2,1,3,2,False
BCL11A,KEL,unresolved_no_interaction,reason_coded_unresolved,small_same_direction_not_equivalently_weak,False,False,-0.06479346230778513,0.027594945349989453,0.06874976018867536,0.5683463541820194,True,2,True,True,False,False,-0.0833805995537897,-0.0273825580285016,-0.1792273962456801,-0.0069664497466678,0.2519892018043477,0.8333152750532294,0.2569566488777601,0.978452304157048,2,3,3,3,False
BCL11A,ANKH,unresolved_no_interaction,reason_coded_unresolved,near_zero_sign_crossing_common_unsupported,False,False,-0.07202372234442256,0.03564635635880835,0.12579136463423213,0.6778348574270372,True,2,False,True,False,False,-0.0544472249891044,-0.0899360217937779,-0.1769105350392248,0.0297998898187446,0.6396136280420033,0.4414825630609997,0.4644995978160781,0.9061398104955036,2,3,3,2,False
BCL11A,HNRNPA3,unresolved_no_interaction,reason_coded_unresolved,small_same_direction_not_equivalently_weak,False,False,-0.0553473098312253,0.02256880375491513,0.05697293766604136,0.4049012551674053,True,2,True,True,False,False,-0.0581510268064717,-0.0166266200440708,-0.0151169622675375,-0.1728661978838432,0.3479762923258208,0.8930886192109916,0.9244998079233776,0.0362657796898222,3,3,2,3,False
BCL11A,TMCC2,unresolved_no_interaction,reason_coded_unresolved,meaningful_polarity_conflict_interaction_unresolved,False,False,-0.13803867932522992,0.161975621704466,0.5517732344774223,0.7274907072774965,True,2,False,False,False,False,0.1918846278937445,-0.3521914893781835,-0.3923580089857523,-0.0697148317567656,0.7387766172105665,0.5519932917679039,0.743749122981642,0.9579450962523862,3,3,1,1,False
BCL11A,ALAD,unresolved_no_interaction,reason_coded_unresolved,near_zero_sign_crossing_common_unsupported,False,False,-0.04742986726023877,0.04562686529747455,0.4678989833497768,0.8117396994106184,True,2,False,False,False,False,-0.052784235415557,0.0149086687437703,-0.1649311698008668,-0.0679200948769616,0.743543113072941,0.9394571881527846,0.5942032044272909,0.7965545642571042,2,1,3,3,False
BCL11A,CCDC14,unresolved_no_interaction,reason_coded_unresolved,near_zero_sign_crossing_common_unsupported,False,False,-0.04255627872107929,0.022047815472491013,0.14624395562278766,0.1103189375593745,True,2,False,False,False,False,0.0173314848033701,-0.0008102485781907,-0.1286392891161148,-0.1728050997586717,0.8489567223616662,0.9871250748588742,0.3329932174010033,0.0324999113145688,3,1,3,3,False
BCL11A,ATP2B1,unresolved_no_interaction,reason_coded_unresolved,near_zero_sign_crossing_common_unsupported,False,False,0.04142237163409653,0.03436208323260747,0.39029803110841677,0.6149204655797225,True,2,False,False,False,False,0.1343317849848876,-0.0027824718939182,0.0220544617657438,-0.0230334936913452,0.1176157484956686,0.9871250748588742,0.9244998079233776,0.936393712910876,3,1,1,3,False
BCL11A,XPO1,unresolved_no_interaction,reason_coded_unresolved,near_zero_sign_crossing_common_unsupported,False,False,-0.007140296278148776,0.02700114225381071,0.8767508990247084,0.5473953686408461,True,2,False,True,False,False,0.0231057796359334,0.026320181987934,-0.0184356050808029,-0.1299377332265927,0.8371997999273338,0.8372507976614033,0.9244998079233776,0.2359749008442038,3,3,2,3,False
BCL11A,GYPE,unresolved_no_interaction,reason_coded_unresolved,near_zero_sign_crossing_common_unsupported,False,False,-0.02078878791933946,0.06943395741212349,0.8647620132557619,0.843292792515562,True,2,False,True,False,False,0.0554728857704634,0.015058229114048,-0.1621140771444192,-0.1190935706492019,0.8475326480571137,0.9661325542104672,0.7493958325885882,0.7450659977999212,3,2,3,3,False
BCL11A,MTDH,unresolved_no_interaction,small_common_response_supported,small_common_response_supported,False,False,-0.06918764169180514,0.021736335099782577,0.01058735025656021,0.560231410216532,True,2,True,True,False,False,-0.0799060589512145,-0.0406893504937457,-0.0186628136801061,-0.1580396559053895,0.1478036719839112,0.6209613946510009,0.9219532832129116,0.0479772438316287,3,3,2,3,False
